Имя,Фамилия,Год рождения,Рост,Вес
David,Brown,1962,1.92486,69.0061
David,Brown,1963,1.84156,118.412
David,Brown,1968,1.65767,86.4493
David,Brown,1971,1.72867,75.9613
David,Brown,1975,2.02903,118.906
David,Brown,1976,2.12254,71.2095
David,Brown,1977,2.04892,102.26
David,Brown,1979,1.91772,107.573
David,Brown,1985,1.66994,88.4666
David,Brown,1985,1.9809,60.0582
David,Brown,1989,1.6577,94.7483
David,Brown,1991,1.70303,83.9119
David,Brown,1991,2.00707,80.2946
David,Brown,1995,2.04566,74.1278
David,Brown,1996,1.54163,107.815
David,Brown,1996,2.06489,102.453
David,Brown,1998,1.70977,71.4077
David,Brown,2000,2.11146,114.038
David,Brown,2001,1.70537,98.0099
David,Brown,2005,1.5191,62.5878
David,Brown,2007,1.84585,82.5517
David,Brown,2008,1.96807,91.8072
David,Brown,2010,1.54937,91.8428
David,Brown,2011,1.62369,93.7114
David,Brown,2018,1.85998,89.3737
David,Brown,2019,1.99637,115.722
David,Brown,2020,2.12516,65.4134
David,Brown,2022,1.91564,86.173
David,Brown,2023,1.63482,66.9953
David,Brown,2023,1.73083,55.9737
David,Brown,2023,1.8876,90.4709
David,Davis,1950,1.71806,69.4406
David,Davis,1953,1.72397,100.927
David,Davis,1954,1.67575,59.8973
David,Davis,1956,2.16542,58.3534
David,Davis,1957,1.50971,87.3283
David,Davis,1965,1.98673,73.0863
David,Davis,1966,1.66975,71.528
David,Davis,1966,2.19442,52.2038
David,Davis,1967,1.50612,114.106
David,Davis,1967,1.78936,56.6047
David,Davis,1969,1.63041,60.9148
David,Davis,1969,1.63117,58.3165
David,Davis,1972,1.87059,110.122
David,Davis,1973,1.80284,113.555
David,Davis,1973,1.80289,57.1836
David,Davis,1974,1.80505,74.3404
David,Davis,1975,1.67038,112.206
David,Davis,1975,1.84249,65.0287
David,Davis,1976,1.97611,74.6255
David,Davis,1976,2.05864,91.1218
David,Davis,1977,2.06064,65.5137
David,Davis,1977,2.18532,108.781
David,Davis,1979,1.9182,65.6003
David,Davis,1979,2.12856,73.1095
David,Davis,1980,1.69345,100.568
David,Davis,1981,1.5389,76.986
David,Davis,1983,1.98116,79.0646
David,Davis,1985,2.11895,108.567
David,Davis,1992,1.79407,65.9484
David,Davis,1994,1.8469,110.983
David,Davis,1997,2.03864,52.5172
David,Davis,1998,1.83196,114.972
David,Davis,2001,1.52167,67.3323
David,Davis,2002,2.1698,62.5235
David,Davis,2003,1.93576,82.9734
David,Davis,2003,2.09757,91.1166
David,Davis,2009,1.53583,65.7016
David,Davis,2015,2.07831,62.8459
David,Davis,2016,1.88387,115.018
David,Davis,2021,1.74406,55.6704
David,Davis,2022,1.97658,90.0776
David,Davis,2023,1.529,101.443
David,Johnson,1950,1.63365,94.6318
David,Johnson,1962,2.16069,66.7468
David,Johnson,1966,1.53082,63.7757
David,Johnson,1967,1.92919,51.7601
David,Johnson,1968,1.94716,67.1045
David,Johnson,1968,2.19906,67.7652
David,Johnson,1969,1.80701,76.1073
David,Johnson,1972,1.9496,79.0465
David,Johnson,1976,1.51313,76.6051
David,Johnson,1979,2.03685,72.1421
David,Johnson,1981,2.16941,98.6643
David,Johnson,1983,1.54063,109.835
David,Johnson,1984,1.75271,76.5302
David,Johnson,1986,2.11379,117.739
David,Johnson,1987,1.81641,61.4777
David,Johnson,1988,1.81385,71.0072
David,Johnson,1991,1.85819,102.752
David,Johnson,1995,1.6718,77.7709
David,Johnson,1997,1.99902,51.9423
David,Johnson,2007,1.56279,114.631
David,Johnson,2011,1.62885,62.179
David,Johnson,2011,1.72534,90.7121
David,Johnson,2011,2.05642,54.9177
David,Johnson,2012,1.93328,88.559
David,Johnson,2013,1.8995,81.3119
David,Johnson,2015,1.66128,117.806
David,Johnson,2018,1.92317,101.406
David,Johnson,2018,2.01636,56.7433
David,Johnson,2019,1.60884,69.9822
David,Johnson,2022,1.53211,92.2461
David,Jones,1953,1.59819,107.698
David,Jones,1957,1.63071,69.9302
David,Jones,1957,1.95152,116.934
David,Jones,1959,1.83135,116.335
David,Jones,1959,1.88556,91.475
David,Jones,1961,1.52979,85.7883
David,Jones,1961,1.68961,62.5814
David,Jones,1961,1.82781,105.159
David,Jones,1961,1.91615,99.229
David,Jones,1964,1.60748,100.403
David,Jones,1968,1.71805,54.3985
David,Jones,1968,2.00973,103.519
David,Jones,1969,1.77578,85.6262
David,Jones,1970,1.64847,100.253
David,Jones,1970,1.80911,61.2719
David,Jones,1972,2.06437,69.9724
David,Jones,1973,1.85215,93.2656
David,Jones,1974,1.52604,118.014
David,Jones,1977,1.58123,85.673
David,Jones,1982,1.76529,116.706
David,Jones,1983,1.58588,84.7575
David,Jones,1984,2.08937,61.1384
David,Jones,1984,2.18704,61.2754
David,Jones,1986,1.62696,109.655
David,Jones,1986,1.82996,94.25
David,Jones,1987,1.80014,101.564
David,Jones,1989,1.94572,86.2896
David,Jones,1990,1.86,71.1649
David,Jones,1992,1.67374,84.5098
David,Jones,1992,2.01582,79.667
David,Jones,1993,1.68466,104.599
David,Jones,1994,2.0178,117.062
David,Jones,1994,2.03414,67.5194
David,Jones,1996,1.87105,109.434
David,Jones,1999,2.14497,102.541
David,Jones,2000,1.6948,80.1192
David,Jones,2000,1.80144,90.8256
David,Jones,2002,1.77658,109.517
David,Jones,2002,2.17209,70.7051
David,Jones,2003,1.90678,77.7225
David,Jones,2004,1.61685,80.9208
David,Jones,2004,1.8523,67.4628
David,Jones,2004,2.18654,56.1694
David,Jones,2005,1.66813,70.0592
David,Jones,2007,2.0433,117.067
David,Jones,2009,1.66797,104.514
David,Jones,2012,1.59414,56.0974
David,Jones,2014,2.15487,92.5378
David,Jones,2016,1.64651,87.5168
David,Jones,2017,1.56117,65.7013
David,Jones,2017,1.75435,68.1707
David,Jones,2017,1.79965,63.9362
David,Jones,2017,1.89541,83.5267
David,Jones,2020,1.88388,71.5458
David,Miller,1954,2.09946,54.2936
David,Miller,1955,1.6596,113.274
David,Miller,1955,1.80938,105.042
David,Miller,1955,2.13704,93.9748
David,Miller,1956,2.12771,70.7886
David,Miller,1959,2.11895,85.7658
David,Miller,1960,2.05428,96.5745
David,Miller,1961,1.85065,82.3253
David,Miller,1962,1.676,72.1181
David,Miller,1963,1.56024,73.6587
David,Miller,1963,1.63408,62.4843
David,Miller,1963,1.72443,81.615
David,Miller,1966,1.90883,54.5569
David,Miller,1969,2.01825,118.568
David,Miller,1972,1.73986,99.9432
David,Miller,1973,1.94877,56.461
David,Miller,1974,2.12754,80.9017
David,Miller,1977,1.74426,66.2448
David,Miller,1978,1.96167,118.523
David,Miller,1979,1.60214,106.501
David,Miller,1980,2.02028,109.298
David,Miller,1983,2.14613,70.6041
David,Miller,1984,1.51576,113.128
David,Miller,1984,2.00104,66.7631
David,Miller,1987,2.07731,63.5132
David,Miller,1988,1.97719,108.812
David,Miller,1989,1.90679,58.4437
David,Miller,1990,1.53954,57.7379
David,Miller,1993,1.87208,72.7339
David,Miller,1993,1.98631,109.179
David,Miller,1993,2.00241,113.761
David,Miller,1994,1.62227,106.954
David,Miller,1995,1.63062,117.6
David,Miller,1995,1.75985,63.6814
David,Miller,1995,2.06312,75.1328
David,Miller,1998,1.70742,87.0111
David,Miller,1999,1.56365,68.2024
David,Miller,1999,2.0032,116.533
David,Miller,2000,1.78711,54.1268
David,Miller,2000,1.874,114.22
David,Miller,2001,1.50668,95.1815
David,Miller,2011,1.99438,108.832
